DATETIMEDATA,PM25,O3,WS,TEMP,WD
2024-03-11,22.111815692166573,9.302467507968485,0.3051512425185345,27.3045,31.8
2024-03-12,22.20423244442895,13.241123922794893,0.3053207465387267,27.401,24.221
2024-03-13,21.80129113274976,15.654240022781067,0.30583184474494673,27.398000000000003,24.168
2024-03-14,21.682244673788627,15.128524073234498,0.30617827331637537,27.372000000000003,24.168
2024-03-15,21.01692931240709,13.52207773910508,0.30637827331637535,27.372000000000003,24.168
2024-03-16,20.76895661435841,13.409987701630437,0.306372320935423,27.359,24.168
2024-03-17,20.456443158920397,13.696116011752551,0.3061821037085867,27.3485,24.168
2024-03-18,20.258215555039264,13.735149801770234,0.25124995304278136,27.344500000000004,24.168
2024-03-19,20.65866884118291,13.597148622819049,0.2510523734360706,27.5965,24.168
2024-03-20,21.41981863694424,13.63889068542667,0.250659212546935,29.9135,24.168
2024-03-21,21.587177477271027,13.870932748292343,0.2508584806850413,29.9125,24.168
2024-03-22,21.139064732370358,13.929917845968557,0.25644437254485114,29.893,24.168
2024-03-23,19.09915686190007,10.97283410035276,0.26113625199854756,29.436,24.168
2024-03-24,18.95166684534912,11.812128983707538,0.2700788331802838,29.428500000000003,24.168
2024-03-25,18.531670695759168,12.256478668080643,0.2705609760374267,29.4435,24.168
2024-03-26,18.739035841050185,14.061526530612042,0.2716907216817245,29.427999999999997,24.168
2024-03-27,19.14932470236577,14.911716017798616,0.27168263978517276,29.419999999999998,24.168
2024-03-28,19.42257654103765,16.626595956262626,0.27156725516978814,29.420499999999993,24.168
2024-03-29,19.506242585406845,16.821089586161285,0.2714958265983596,29.430999999999994,24.168
2024-03-30,19.491852578387803,16.22444286572887,0.2716474291624622,29.430500000000002,24.168
2024-03-31,19.42051258729512,15.80320579103309,0.27149727133417934,29.430500000000002,24.168
2024-04-01,22.52796321101868,8.93933947725072,0.2925265394707221,27.4015,31.8
2024-04-02,22.519143206364745,8.996018002636042,0.2923016048608059,27.4015,31.8
2024-04-03,21.86288291211698,10.769480164289341,0.29340247761417887,27.4015,31.8
2024-04-04,21.7553371557076,11.277956236979483,0.29728809795557265,27.4015,31.8
2024-04-05,23.005015516360512,7.718527201232922,0.30382817694231906,27.3755,31.8
2024-04-06,23.30786600212134,7.009618578268386,0.3094581964107136,27.3815,31.8
2024-04-07,23.939709345601766,6.956398847553507,0.3073148106977713,27.386499999999995,31.8
2024-04-08,24.60109932758686,6.934697051086363,0.30423217806774633,27.377499999999998,31.8
2024-04-09,23.18848115256372,7.2949430360918495,0.3034368754740754,27.3765,31.8
2024-04-10,22.685348798596287,7.357403356750214,0.30506172537806625,27.321999999999996,31.8
